access,business_hours,city,course_description,course_name,course_price,course_time,facility,remarks,store_name,store_url,tel
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15","フィットネスクラブ及びスポーツクラブ全店を、他店利用料0円でご利用いただけます。
テニスクラブ コ・ス・パ7店舗（三国ヶ丘・御殿山・神崎川・柏原・八尾南・光明池TG・あやめ池）のレンタルコートが優待料金にてご利用いただけます。,全施設・全プログラムを全営業時間ご利用いただけます。,全施設・全プログラムを全営業時間ご利用いただけます。
ご家族・ご友人2名以上でお申し込みください。

※金額は一人当たり,当店舗のキッズスクール会員の保護者さま（同居されている祖父母含む）が対象です。,,,,チェックインからチェックアウトまで90分間ご利用いただけます。,チェックインからチェックアウトまで90分間ご利用いただけます。,プールエリアとお風呂のみご利用いただけます。","スーパーマスター会員全店舗を利用料0円でご利用になりたい方,レギュラー会員好きな時間にご利用になりたい方,ペア会員,パパママ会員キッズスクール会員の保護者さま,デイタイム会員昼間にご利用の方,ナイト会員お仕事帰りにご利用の方,ホリデー会員休日にご利用の方,90分会員短時間だけご利用の方,90分平日5回会員短時間だけご利用の方,プール＆スパ会員プールをご利用の方","12600,9900,9200,5300,8500,7200,7400,6700,4400,7400","全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間,平日の10:00～18:00,平日の21:00～24:00,土・日・祝日の全営業時間,全営業日・全営業時間のうち1日1回、90分以内,平日の全営業時間のうち1日1回、90分以内、月5回まで,全営業日・全営業時間","トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15","フィットネスクラブ及びスポーツクラブ全店を、他店利用料0円でご利用いただけます。
テニスクラブ コ・ス・パ7店舗（三国ヶ丘・御殿山・神崎川・柏原・八尾南・光明池TG・あやめ池）のレンタルコートが優待料金にてご利用いただけます。,施設利用料なしで、コ・ス・パ 松井山手、住道、鶴見緑地、高の原を全施設・全営業時間ご利用いただけます。,全施設・全プログラムを全営業時間ご利用いただけます。,全施設・全プログラムを全営業時間ご利用いただけます。
ご家族・ご友人2名以上でお申し込みください。

※金額は一人当たり,当店舗のキッズスクール会員の保護者さま（同居されている祖父母含む）が対象です。,,,,チェックインからチェックアウトまで90分間のご利用となります。,チェックインからチェックアウトまで90分間のご利用となります。,チェックインからチェックアウトまで90分間のご利用となります。,,,全営業日・全営業時間にプールエリアとお風呂をご利用いただけます。","スーパーマスター会員全店舗を利用料0円でご利用になりたい方,エリアプラス会員,レギュラー会員好きな時間にご利用になりたい方,ペア会員,パパママ会員キッズスクール会員の保護者さま,デイタイム会員平日の昼間にご利用の方,ホリデー会員休日にご利用の方,ビジネス会員お仕事帰りにご利用の方,90分会員短時間だけご利用の方,90分平日会員平日に短時間だけご利用の方,90分4回会員短い時間だけご利用の方,モーニング会員平日の午前中にご利用の方,アフタヌーン会員平日の昼から夕方までご利用の方,プール＆スパ会員プールをご利用の方","12600,10,500,9900,9200,5300,8200,7400,7900,7700,6400,4300,4500,5400,7900","全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間,平日の9:30～18:00,土・日・祝日の全営業時間,平日の18:00～23:30,全営業日・全営業時間のうち1日1回、90分以内,平日の全営業時間のうち1日1回、90分以内,全営業日、全営業時間のうち1日1回、90分以内。月4回まで。,平日9:30～12:00
平日12:00以降および土日祝利用不可,平日14:00～18:00
土日祝利用不可,全営業日・全営業時間","トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15","フィットネスクラブ及びスポーツクラブ全店を、他店利用料0円でご利用いただけます。
テニスクラブ コ・ス・パ7店舗（三国ヶ丘・御殿山・神崎川・柏原・八尾南・光明池TG・あやめ池）のレンタルコートが優待料金にてご利用いただけます。,施設利用料なしで、コ・ス・パ 松井山手、住道、鶴見緑地、高の原を全施設・全営業時間ご利用いただけます。,全施設・全プログラムを全営業時間ご利用いただけます。,,全施設・全プログラムを全営業時間ご利用いただけます。
ご家族・ご友人2名以上でお申し込みください。

※金額は一人当たり,先着100名さま限定の特別価格となります。

29歳以下の方が対象です。
30歳になられた翌月から、レギュラー会員に自動移行となります。,先着100名さま限定の特別価格となります。

学校教育法で定める学校で学ぶ方（または、それと類すると店舗が認めた者）で、
その証明ができる方とさせていただきます。
※入会時および、毎年4月に学生証を提示いただきます。
※学生証の提示が無い場合、または種別変更のお申し出が無い場合、
自動的にレギュラー会員に変更させていただきます。　,当店舗のキッズスクール会員の保護者さま（同居されている祖父母含む）が対象です。,,,チェックインからチェックアウトまで90分間のご利用となります。,1日1回、90分間ご利用いただけるコースです。
週1回のペースで利用したい方におススメです！,プールとお風呂だけご利用したい方にオススメです。
※ジム・スタジオはご利用いただけません。","スーパーマスター会員全店舗を利用料0円でご利用になりたい方,エリアプラス会員,レギュラー会員好きな時間にご利用になりたい方,デイタイム会員昼間にご利用になりたい方,ペア会員,アンダー29会員,学生会員,パパママ会員キッズスクール会員の保護者さま,ナイト会員お仕事帰りにご利用の方,ホリデー会員休日にご利用の方,90分会員短時間だけご利用の方,90分4回会員短時間だけご利用の方,プール会員プールとお風呂だけご利用の方","12600,10,500,10100,8600,9200,6300,4500,5300,7200,6200,7200,4800,7700","全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間,平日・土曜日の9:00～18:00,全営業日・全営業時間,月・水・木・金
17:00～23:00
土
9:00～21:00
日・祝
10:00～20:00,全営業日・全営業時間,全営業日・全営業時間,平日の18:00～23:00,土・日・祝日の全営業時間,全営業日・全営業時間のうち1日1回、90分以内,全営業日、全営業時間のうち1日1回、90分以内。月4回まで。,全営業日・全営業時間","トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15","フィットネスクラブ及びスポーツクラブ全店を、他店利用料0円でご利用いただけます。
テニスクラブ コ・ス・パ7店舗（三国ヶ丘・御殿山・神崎川・柏原・八尾南・光明池TG・あやめ池）のレンタルコートが優待料金にてご利用いただけます。,全施設・全プログラムを全営業時間ご利用いただけます。,35歳以下の方が対象となります。
36歳になられた翌月から、レギュラー会員に自動移行となります,全施設・全プログラムを全営業時間ご利用いただきます。
ご家族・ご友人2名以上でお申し込みください。

※金額は一人当たり,当店舗のキッズスクール会員の保護者さま（同居されている祖父母含む）が対象です。,,,チェックインからチェックアウトまで90分間のご利用となります。","スーパーマスター会員全店舗を利用料0円でご利用になりたい方,レギュラー会員好きな時間にご利用になりたい方,レギュラーライト35会員,ペア会員,パパママ会員キッズスクール会員の保護者さま,デイタイム会員平日の朝～昼間にご利用の方,ナイト＆ホリデー会員平日の夜と休日に利用したい方,90分会員短時間だけご利用の方","12600,10200,6800,9300,5300,8500,8100,7500","全営業日・全営業時間,全営業日・全営業時間,全営業日
平日15:00～23:00
土曜日9:30～20:00
日祝日9:30～19:00,全営業日・全営業時間,全営業日・全営業時間,平日の9:00～18:00,平日の20:30～23:00、土日祝の全営業時間,全営業日・全営業時間のうち1日1回、90分以内","トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15","フィットネスクラブ及びスポーツクラブ全店を、他店利用料0円でご利用いただけます。
テニスクラブコ・ス・パ7店舗（三国ヶ丘・御殿山・神崎川・柏原・八尾南・光明池TG・あやめ池）のレンタルコートが優待料金にてご利用いただけます。,全施設・全プログラムを全営業時間ご利用いただけます。,35歳以下の方が対象です。
36歳になられた翌月から、レギュラー会員に自動移行となります。,全施設・全プログラムを全営業時間ご利用いただけます。
ご家族・ご友人2名以上でお申し込みください。

※金額は一人当たり,当店舗のキッズスクール会員の保護者さま（同居されている祖父母含む）が対象です。,,,1日1回90分間のみ,,プールがご利用いただけます。
（お風呂はご利用いただけません）","スーパーマスター会員全店舗を利用料0円でご利用になりたい方,レギュラー会員好きな時間にご利用になりたい方,レギュラーライト35会員,ペア会員,パパママ会員キッズスクール会員の保護者さま,デイタイム会員平日の昼間にご利用の方,ホリデー会員休日にご利用の方,90分会員短時間で手軽に運動したい方,イブニング会員日中はお仕事・学校で通えないという方にオススメです！
お仕事・学校帰りなどにご利用いただけるコースです！,プール会員プールをご利用の方","12600,10500,6800,9800,5300,9000,8000,7600,8300,7400","全営業日・全営業時間,全営業日・全営業時間,月・火・水・金
15:00～24:00
土
10:00～21:00
日・祝
10:00～19:00,全営業日・全営業時間,全営業日・全営業時間,平日の10:00～18:00,土・日・祝日の全営業時間,全営業日・全営業時間,平日の18:00～24:00,平日の10:00～15:00、19:30～23:30","トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15","フィットネスクラブ及びスポーツクラブ全店を、他店利用料0円でご利用いただけます。
テニスクラブ コ・ス・パ7店舗（三国ヶ丘・御殿山・神崎川・柏原・八尾南・光明池TG・あやめ池）のレンタルコートが優待料金にてご利用いただけます。,施設利用料なしで、コ・ス・パ さかい、鳳、深井を全施設・全営業時間ご利用いただけます。,全施設・全プログラムを全営業時間ご利用いただけます。,全施設・全プログラムを全営業時間ご利用いただけます。
ご家族・ご友人2名以上でお申し込みください。

※金額は一人当たり,当店舗のキッズスクール会員の保護者さま（同居されている祖父母含む）が対象です。,,,月10回までご利用いただけます。,,,チェックインからチェックアウトまで90分間のご利用となります。,,,学校教育法で定める学校で学ぶ者（または、それと類すると店舗が認めた者）で、その証明ができる者とさせていただきます。","スーパーマスター会員全店舗を利用料0円でご利用になりたい方,エリア会員,レギュラー会員好きな時間にご利用になりたい方,ペア会員,パパママ会員キッズスクール会員の保護者さま,デイタイム会員平日の昼間にご利用の方,ナイト会員お仕事帰りにご利用の方,ナイト10会員お仕事帰りにご利用の方,ホリデー会員休日にご利用の方,イブニング会員平日の夕方からご利用の方,90分会員短時間だけご利用の方,ナイト＆ホリデー会員お仕事帰り＆休日にご利用の方,プール会員プールをご利用の方,学生会員学生の方","12600,10000,9900,9200,5300,8400,6900,5800,7400,7400,7100,8600,7100,6300","全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間,平日の10:00～17:30,平日の21:00～24:00,平日の21:00～24:00,土・日・祝日の全営業時間,平日の18:00～24:00,全営業日・全営業時間のうち1日1回、90分以内,平日の20:00～24:00、土・日・祝日の全営業時間,全営業日・全営業時間,全営業日・全営業時間","トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15","全施設・全プログラムを全営業時間ご利用いただけます。,当店舗のキッズスクール会員の保護者さま（同居されている祖父母含む）が対象です。,施設利用料なしで、コ・ス・パ 鳳、さかい、深井を全施設・全営業時間ご利用いただけます。,フィットネスクラブ及びスポーツクラブ全店を、他店利用料0円でご利用いただけます。
テニスクラブ コ・ス・パ7店舗（三国ヶ丘・御殿山・神崎川・柏原・八尾南・光明池TG・あやめ池）のレンタルコートが優待料金にてご利用いただけます。","フルタイム会員好きな時間にご利用になりたい方,パパママ会員キッズスクール会員の保護者さま,エリア会員,スーパーマスター会員全店舗を利用料0円でご利用になりたい方","5,400,5000,10000,12600","全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間,全営業日・全営業時間","トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15",,,,,"トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15","フィットネスクラブ及びスポーツクラブ全店を、他店利用料0円でご利用いただけます。
テニスクラブ コ・ス・パ7店舗（三国ヶ丘・御殿山・神崎川・柏原・八尾南・光明池TG・あやめ池）のレンタルコートが優待料金にてご利用いただけます。,全施設・全プログラムを全営業時間ご利用いただけます。,100名様限定　追加募集中です。
35歳以下の方が対象です。
36歳になられた翌月から、レギュラー会員に自動移行となります。,全施設・全プログラムを全営業時間ご利用いただけます。
 ご家族・ご友人2名以上でお申し込みください。,,,,,チェックインからチェックアウトまで90分間のご利用となります。,学校教育法で定める学校で学ぶ者（または、それと類すると店舗が認めた者）で、その証明ができる者とさせていただきます。","スーパーマスター会員全店舗を利用料0円でご利用になりたい方,レギュラー会員好きな時間にご利用になりたい方,レギュラーライト35先行会員,ペア会員,デイタイム会員平日の昼間にご利用の方,イブニング会員夕方以降にご利用の方,ナイト会員お仕事帰りにご利用の方,ホリデー会員休日にご利用の方,90分会員短時間だけご利用の方,学生会員学生の方","12600,10000,6000,9300,8500,7700,7000,7500,7200,5900","全営業日・全営業時間,全営業日・全営業時間,月・火・水・金
14:00～23:00
土・日・祝日
9:00～19:00,全営業日・全営業時間,平日の9:00～17:00,平日の17:00～23:00
土曜の16:00～19:00,平日の20:00～23:00,土・日・祝日の全営業時間,全営業日・全営業時間のうち1日1回、90分以内,全営業日・全営業時間","トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15",,,,,"トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15",,,,,"トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15",,,,,"トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15",,,,,"トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
東武スカイツリーライン「獨協大学前＜草加松原＞駅」西口すぐ,"平日　　9:30～23:30
土曜日　9:30～22:00
日祝日　9:30～20:00

■フロント諸届受付時間は以下の通りです。
平日　　10:30～21:30
土曜日　10:30～20:00
日祝日　10:30～18:00
								※なお、18歳未満のお客さまは、埼玉県の「青少年健全育成条例」に定められた帰宅時刻である、23時までのご利用となります。

※木曜日は、15:30～19:00のみキッズスクール開講のため営業。（フィットネス会員さまはご利用いただけません）","〒340-0041
								埼玉県草加市松原1-2-15",,,,,"トレーニングジム,スタジオ,プール,ジャグジー,お風呂,シャワー,サウナ",,コ・ス・パ 松原,https://www.ogsports.co.jp/store/?id=38,048-946-5522
